Name,Idx,Lvl,Speed,AC,Attacks,Dam,Body,Str,Int,Wis,Dex,Con,Chr,Life,Disarm,Device,Save,Stealth,Search,Perception,Melee,Bows
"",0,0,-110,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"肮脏的街头顽童",1,0,0,0,0,0,标准,-4,0,-3,0,-4,-7,60,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"瘦骨嶙峋的猫",2,0,0,0,0,0,皮包骨,-9,-2,-2,0,-3,-1,47,="13+5",="21+6",="33+9",6,10,8,="46+12",="16+10"
"麻雀",3,0,0,0,0,0,皮包骨,-9,0,-3,0,-9,-7,43,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"苍头燕雀",4,0,0,0,0,0,皮包骨,-9,0,-3,0,-9,-7,43,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"野兔",5,0,0,0,0,0,皮包骨,-9,0,-3,0,-9,-7,43,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"樵夫",6,0,0,0,0,0,标准,-2,-1,-1,-1,-2,-3,65,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"邋遢的小狗",7,0,0,0,0,0,皮包骨,1,1,-1,3,0,1,50,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"马戈特农夫",8,0,0,0,0,0,标准,2,-1,-1,5,4,2,105,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"哭闹的白痴",9,0,0,0,0,0,标准,-4,-8,-3,-3,-4,-8,47,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"流浪汉",10,0,0,0,0,0,标准,-4,-3,-3,-3,-4,-18,47,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"癫狂的疯子",11,0,10,0,0,0,标准,-4,-13,-3,-3,-4,-8,47,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"可怜的乞丐",12,0,0,0,0,0,标准,-1,-1,-3,1,-2,-4,51,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"长癣的麻风病人",13,0,0,0,0,0,标准,-4,-13,-3,-3,-9,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"黑市代理人",14,0,0,0,0,0,标准,-1,1,-1,3,-1,0,65,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"快乐唱歌的醉汉",15,0,0,0,0,0,标准,-2,-1,-1,-1,-2,-3,61,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"漫无目的的商人",16,0,0,0,0,0,标准,-2,-1,-1,-1,-2,-3,61,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"面相凶狠的雇佣兵",17,0,0,0,0,0,标准,2,-2,-2,2,1,0,86,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"伤痕累累的老兵",18,0,0,0,0,0,标准,3,-2,-2,2,1,0,86,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"屠夫尼克",19,0,1,0,0,0,标准,-2,-1,-1,-1,-2,-3,70,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"灰霉菌",20,1,0,1,0,0,霉菌,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"大白蛇",21,1,-10,0,0,0,蛇,-1,-1,-3,1,-2,-4,42,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"闪烁的圆点",22,1,0,1,0,0,霉菌,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"蝾螈",23,1,0,0,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"巨型白蜈蚣",24,1,0,10,0,0,蜈蚣2,-4,0,-3,0,-4,-7,51,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"白色恶心物",25,1,0,0,0,0,恶心物,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"透明恶心物",26,2,0,0,0,0,恶心物,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"巨型白鼠",27,1,0,0,0,0,皮包骨,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"大棕蛇",28,1,-10,0,0,0,蛇,-1,-1,-3,1,-2,-4,46,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"小狗头人",29,1,0,0,0,0,标准,-1,-2,-1,0,-2,-5,64,="13+5",="16+6",="27+9",0,13,10,="56+12",="22+10"
"狗头人",30,3,0,0,0,0,标准,3,-3,-2,2,1,-1,78,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"绿蠕虫团",31,1,-10,1,0,0,蠕虫,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"漂浮眼",32,1,0,0,0,0,眼睛,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"岩石蜥蜴",33,1,0,0,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"电子虫",34,1,0,2,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"豺狼",35,1,0,0,0,0,皮包骨,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"兵蚁",36,1,0,0,0,0,蚂蚁,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"果蝠",37,1,10,3,0,0,蝙蝠,0,0,-3,3,-1,-4,55,="27+12",="27+10",="34+10",8,37,33,="30+12",="69+28"
"昆虫群",38,1,10,4,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"高阶地狱兽",39,1,5,100,0,0,高等地狱兽,-4,-3,-3,-3,-4,-8,118,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
