职业,领域,索引,名称,等级,消耗,失败率
"法师","生命",1,"治疗轻伤",1,1,30
"法师","生命",2,"祝福",3,2,35
"法师","生命",3,"再生",4,3,35
"法师","生命",4,"召唤光芒",5,5,35
"法师","生命",5,"探测门与陷阱",7,7,35
"法师","生命",6,"治疗中伤",9,8,40
"法师","生命",7,"解毒",12,12,40
"法师","生命",8,"充饥",15,14,45
"法师","生命",9,"移除诅咒",16,16,45
"法师","生命",10,"禁食",17,17,50
"法师","生命",11,"治疗重伤",18,18,50
"法师","生命",12,"抵抗冷热",19,19,50
"法师","生命",13,"感知周围",20,20,50
"法师","生命",14,"亡灵退散",23,23,50
"法师","生命",15,"治疗",30,30,55
"法师","生命",16,"守护结界",35,70,75
"法师","生命",17,"驱除诅咒",26,30,50
"法师","生命",18,"察觉",28,25,70
"法师","生命",19,"驱散不死生物",33,33,60
"法师","生命",20,"维持属性",35,35,60
"法师","生命",21,"治愈变异",35,35,70
"法师","生命",22,"召回之语",35,55,80
"法师","生命",23,"超越",39,40,80
"法师","生命",24,"真实结界",46,70,80
"法师","生命",25,"绝育",9,15,50
"法师","生命",26,"探测",25,25,50
"法师","生命",27,"湮灭不死生物",35,55,80
"法师","生命",28,"透视",42,100,80
"法师","生命",29,"完全恢复",45,90,80
"法师","生命",30,"真实治疗",48,50,80
"法师","生命",31,"神圣视界",49,100,80
"法师","生命",32,"终极抵抗",50,100,80
"法师","咒术",1,"探测怪物",1,1,23
"法师","咒术",2,"相位门",1,2,24
"法师","咒术",3,"探测门与陷阱",3,3,25
"法师","咒术",4,"区域照明",3,3,30
"法师","咒术",5,"混乱单一怪物",4,4,30
"法师","咒术",6,"传送",5,5,35
"法师","咒术",7,"催眠单一怪物",6,5,30
"法师","咒术",8,"充能",7,7,75
"法师","咒术",9,"魔法探知",9,7,75
"法师","咒术",10,"批量鉴定",10,7,75
"法师","咒术",11,"减速单一怪物",11,7,75
"法师","咒术",12,"群体静滞",13,7,50
"法师","咒术",13,"传送离开",18,12,60
"法师","咒术",14,"自我加速",22,12,60
"法师","咒术",15,"真实探测",28,20,70
"法师","咒术",16,"真实鉴定",33,30,75
"法师","咒术",17,"物品栏保护",3,3,25
"法师","咒术",18,"制造阶梯",10,10,80
"法师","咒术",19,"感知心灵",14,10,60
"法师","咒术",20,"传送到城镇",18,30,70
"法师","咒术",21,"自我知识",20,18,85
"法师","咒术",22,"传送楼层",20,18,60
"法师","咒术",23,"召回之语",25,25,75
"法师","咒术",24,"任意门",40,40,80
"法师","咒术",25,"探知",10,10,40
"法师","咒术",26,"制造门",20,20,80
"法师","咒术",27,"隔空取物",25,25,75
"法师","咒术",28,"透视",30,40,80
"法师","咒术",29,"装置精通",40,65,90
"法师","咒术",30,"炼金术",42,50,90
"法师","咒术",31,"放逐",43,40,55
"法师","咒术",32,"无敌结界",45,70,85
"法师","自然",1,"探测生物",1,1,23
"法师","自然",2,"闪电",3,3,25
"法师","自然",3,"探测门与陷阱",3,3,25
"法师","自然",4,"制造食物",4,4,35
"法师","自然",5,"昼光",4,4,50
"法师","自然",6,"御风而行",4,5,50
