id	priority	category	file	line	col	source	zh_cn	context	notes
SRC_00005	high	display	src/alky.c	219	22	<tab:%d>Cost: %4d (%s) Lvl: <color:G>%3d</color>\n	<tab:%d>费用: %4d (%s) 等级: <color:G>%3d</color>\n	doc_printf(doc, "<tab:%d>Cost: %4d (%s) Lvl: <color:G>%3d</color>\\n", display.cx - 32, _FindFormula(o_ptr->sval)->cost, _tiername[tier], DC);	保留颜色标签与占位符
SRC_00006	high	display	src/alky.c	222	21	<tab:%d><color:r>Irreproducible</color>\n	<tab:%d><color:r>不可复制</color>\n	doc_printf(doc, "<tab:%d><color:r>Irreproducible</color>\\n",display.cx - 22);	
SRC_00007	high	display	src/alky.c	225	21	<tab:%d>Cost: %4d (%s) Lvl: <color:R>%3d</color>\n	<tab:%d>费用: %4d (%s) 等级: <color:R>%3d</color>\n	doc_printf(doc, "<tab:%d>Cost: %4d (%s) Lvl: <color:R>%3d</color>\\n", display.cx - 32, _FindFormula(o_ptr->sval)->cost, _tiername[tier], DC);	
SRC_00008	high	display	src/alky.c	231	38	(None)\n	(无)\n	doc_insert_text(doc, TERM_L_DARK, "(None)\\n");	
SRC_00009	high	display	src/alky.c	235	18	\nAlchemist skill: <color:y>%3d%</color> \n	\n炼金技能: <color:y>%3d%</color> \n	doc_printf(doc, "\\nAlchemist skill: <color:y>%3d%</color> \\n", _AlchemistSkill());	
SRC_00010	high	display	src/alky.c	236	18	Energy cost: <color:B>%7d%</color> \n	能量消耗: <color:B>%7d%</color> \n	doc_printf(doc, "Energy cost: <color:B>%7d%</color> \\n", alchemist_infusion_energy_use());	
SRC_00011	high	display	src/alky.c	237	18	\nChemical stock: \n	\n化学试剂库存: \n	doc_printf(doc, "\\nChemical stock: \\n");	
SRC_00019	medium	possible_name	src/alky.c	363	51	Use	使用	`if ((toisto) && (result->number > 0) && ((streq("Use", verb))	
SRC_00020	medium	possible_name	src/alky.c	363	75	Reproduce	复制	`if ((toisto) && (result->number > 0) && ((streq("Use", verb))	
SRC_00021	high	message	src/alky.c	368	15	You have %s.	你有%s。	msg_format("You have %s.", o_name);	
SRC_00022	high	message	src/alky.c	390	13	You do not have enough infusions.	你没有足够的萃取液。	msg_print("You do not have enough infusions.");	
SRC_00027	medium	possible_name	src/alky.c	430	39	Browse	浏览	`object_type *o_ptr = _chooseInfusion("Browse", TV_POTION, _ALLOW_SWITCH	_ALLOW_EXCHANGE);`
SRC_00028	high	message	src/alky.c	441	13	You are too scared!	你太害怕了！	msg_print("You are too scared!");	
SRC_00029	medium	possible_name	src/alky.c	449	26	Use	使用	`o_ptr = _chooseInfusion("Use", tval, _ALLOW_SWITCH	_ALLOW_EXCHANGE);`
SRC_00030	high	prompt	src/alky.c	465	18	Create infusion from which potions?	要用哪些药水来制造萃取液？	prompt.prompt = "Create infusion from which potions?";	
