id	count	first_file	first_line	kind	field	source	zh_cn
EDITU_00001	49	lib/edit/t_ana.txt	120	building	B:0:owner_race	Human	
EDITU_00002	35	lib/edit/t_ana.txt	127	building_action	B:1:action:0	Request quest	
EDITU_00003	32	lib/edit/f_info.txt	1014	feature_name	E	Building	
EDITU_00004	17	lib/edit/t_ana.txt	139	building_action	B:4:action:0	Rest for the night	
EDITU_00005	16	lib/edit/t_ana.txt	149	building	B:6:owner_race	Elf	
EDITU_00006	16	lib/edit/k_info.txt	2427	object_name	N:name	Enchant Armor	
EDITU_00007	16	lib/edit/t_ana.txt	124	building_action	B:0:action:3	Identify possessions	
EDITU_00008	15	lib/edit/q_barracks.txt	17	description	D	You have failed me, beware you do not do so again!	
EDITU_00009	12	lib/edit/k_info.txt	4036	object_name	N:name	& Stone	
EDITU_00010	12	lib/edit/t_ana.txt	150	building_action	B:6:action:0	Evaluate AC	
EDITU_00011	12	lib/edit/t_ana.txt	121	building_action	B:0:action:0	Research item	
EDITU_00012	11	lib/edit/t_ana.txt	147	building_action	B:5:action:0	Research monster	
EDITU_00013	10	lib/edit/t_ana.txt	141	building_action	B:4:action:2	Listen for rumors	
EDITU_00014	9	lib/edit/t_ana.txt	143	building_action	B:4:action:4	Ask about your reputation	
EDITU_00015	9	lib/edit/t_ana.txt	140	building_action	B:4:action:1	Buy food and drink	
EDITU_00016	9	lib/edit/t_ana.txt	123	building_action	B:0:action:2	Identify item	
EDITU_00017	9	lib/edit/rooms.txt	510	room_or_vault_name	N:name	Library	
EDITU_00018	8	lib/edit/t_ana.txt	129	building	B:3:name	Casino	
EDITU_00019	8	lib/edit/t_ana.txt	185	building_action	B:11:action:1	Enchant bow	
EDITU_00020	8	lib/edit/t_ana.txt	184	building_action	B:11:action:0	Enchant missiles	
EDITU_00021	8	lib/edit/t_ana.txt	153	building_action	B:7:action:0	Enchant weapon	
EDITU_00022	8	lib/edit/t_ana.txt	136	building_action	B:3:action:6	Game rules	
EDITU_00023	8	lib/edit/t_ana.txt	130	building_action	B:3:action:0	In-Between	
EDITU_00024	8	lib/edit/r_info.txt	7255	description	D	It has a form that legends are made of. Its still-tender scales are a	
EDITU_00025	8	lib/edit/f_info.txt	461	feature_name	E	jammed door	
EDITU_00026	8	lib/edit/f_info.txt	1456	feature_name	E	jammed glass door	
EDITU_00027	8	lib/edit/t_ana.txt	134	building_action	B:3:action:4	Monster arena	
EDITU_00028	8	lib/edit/t_ana.txt	131	building_action	B:3:action:1	Play craps	
EDITU_00029	8	lib/edit/t_ana.txt	133	building_action	B:3:action:3	Play dice slots	
EDITU_00030	8	lib/edit/t_ana.txt	135	building_action	B:3:action:5	Poker	
EDITU_00031	8	lib/edit/t_ana.txt	171	building_action	B:9:action:1	Restoration	
EDITU_00032	8	lib/edit/t_ana.txt	132	building_action	B:3:action:2	Spin the wheel	
EDITU_00033	8	lib/edit/t_ana.txt	122	building_action	B:0:action:1	Town overview	
EDITU_00034	7	lib/edit/t_ana.txt	152	building	B:7:name	Fighters' Hall	
EDITU_00035	7	lib/edit/t_angwil.txt	141	building_action	B:9:action:0	Healing prayer	
EDITU_00036	7	lib/edit/q_doom1.txt	19	description	D	I've sent out someone else to do the job. Now leave me alone!	
EDITU_00037	7	lib/edit/f_info.txt	356	feature_name	E	locked door	
EDITU_00038	7	lib/edit/f_info.txt	1365	feature_name	E	locked glass door	
EDITU_00039	7	lib/edit/t_angwil.txt	163	building_action	B:12:action:1	See Healers	
EDITU_00040	7	lib/edit/t_ana.txt	142	building_action	B:4:action:3	Teleport to other town	
EDITU_00041	6	lib/edit/t_ana.txt	183	building	B:11:name	Archers' Guild	
EDITU_00042	6	lib/edit/t_lite.old	300	building_action	B:7:action:3	Compare weapons	
EDITU_00043	6	lib/edit/t_ana.txt	191	building	B:12:owner_race	Half-Elf	
EDITU_00044	6	lib/edit/t_angwil.txt	93	building	B:3:owner_race	Hobbit	
EDITU_00045	6	lib/edit/t_ana.txt	207	building_action	B:14:action:0	Recall to dungeon	
EDITU_00046	6	lib/edit/t_ana.txt	203	building_action	B:13:action:3	Receive prize	
EDITU_00047	6	lib/edit/t_ana.txt	202	building_action	B:13:action:2	Special target	
EDITU_00048	6	lib/edit/r_info.txt	2472	description	D	This hatchling dragon is still soft, its eyes unaccustomed to light and	
EDITU_00049	6	lib/edit/t_ana.txt	200	building_action	B:13:action:0	Today's wanted	
EDITU_00050	6	lib/edit/t_lite.old	314	building	B:8:name	Tower of Sorcery	
EDITU_00051	6	lib/edit/t_ana.txt	206	building	B:14:name	Trump Tower	
EDITU_00052	6	lib/edit/t_ana.txt	201	building_action	B:13:action:1	Wanted unique list	
EDITU_00053	5	lib/edit/t_angwil.txt	167	building	B:13:owner_race	Amberite	
EDITU_00054	5	lib/edit/d_info.txt	289	dungeon_name	N:name	Arena	
EDITU_00055	5	lib/edit/t_lite.old	273	building	B:4:owner_race	Beastman	
EDITU_00056	5	lib/edit/t_ana.txt	172	building_action	B:9:action:2	Cure mutation	
EDITU_00057	5	lib/edit/t_ana.txt	163	building	B:8:owner_race	Dwarf	
EDITU_00058	5	lib/edit/f_info.txt	664	feature_name	E	granite wall	
